policy,episode,step,variables
A2C,31,2,"[{'variable': 'Ventricles', 'value': 114924.1640625, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
A2C,37,21,"[{'variable': 'WholeBrain', 'value': 1347208.625, 'lower_bound': 680604.8749597732, 'upper_bound': 1346053.4112888516}]"
A2C,43,19,"[{'variable': 'ADNI_MEM', 'value': 3.9844563007354736, 'lower_bound': -3.31908269, 'upper_bound': 3.966936642178734}]"
A2C,44,15,"[{'variable': 'Ventricles', 'value': 111654.109375, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
A2C,49,13,"[{'variable': 'ADNI_MEM', 'value': 3.9865193367004395, 'lower_bound': -3.31908269, 'upper_bound': 3.966936642178734}]"
A2C,52,16,"[{'variable': 'MidTemp', 'value': 9963.740234375, 'lower_bound': 10037.345003749057, 'upper_bound': 28777.614263053387}]"
A2C,55,8,"[{'variable': 'Entorhinal', 'value': 977.2656860351562, 'lower_bound': 987.6326533633978, 'upper_bound': 6120.5435177160325}]"
A2C,60,17,"[{'variable': 'subject_age', 'value': 95.08999633789062, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
A2C,64,5,"[{'variable': 'MidTemp', 'value': 9745.5888671875, 'lower_bound': 10037.345003749057, 'upper_bound': 28777.614263053387}]"
A2C,66,6,"[{'variable': 'subject_age', 'value': 94.94999694824219, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
A2C,72,1,"[{'variable': 'Ventricles', 'value': 115797.6796875, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
A2C,74,3,"[{'variable': 'Entorhinal', 'value': 912.541748046875, 'lower_bound': 987.6326533633978, 'upper_bound': 6120.5435177160325}]"
A2C,79,19,"[{'variable': 'subject_age', 'value': 95.08999633789062, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
A2C,84,19,"[{'variable': 'subject_age', 'value': 94.7699966430664, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
A2C,90,9,"[{'variable': 'Ventricles', 'value': 113172.5390625, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
A2C,92,17,"[{'variable': 'subject_age', 'value': 94.80999755859375, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
A2C,93,21,"[{'variable': 'subject_age', 'value': 95.0199966430664, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
A2C,94,19,"[{'variable': 'Fusiform', 'value': 25823.0078125, 'lower_bound': 8930.411846, 'upper_bound': 25693.10470195099}]"
A2C,97,0,"[{'variable': 'Ventricles', 'value': 119111.609375, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}, {'variable': 'ICV', 'value': 2061002.125, 'lower_bound': 1007825.0712592078, 'upper_bound': 2037697.0662990797}]"
NoMed,0,19,"[{'variable': 'WholeBrain', 'value': 1349615.875, 'lower_bound': 680604.8749597732, 'upper_bound': 1346053.4112888516}]"
NoMed,4,2,"[{'variable': 'Ventricles', 'value': 112347.5, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
NoMed,7,13,"[{'variable': 'Ventricles', 'value': 113765.6328125, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
NoMed,9,18,"[{'variable': 'TAU_data', 'value': 689.5982055664062, 'lower_bound': -98.47862854, 'upper_bound': 671.9238390503378}]"
NoMed,11,11,"[{'variable': 'Ventricles', 'value': 111642.7109375, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
NoMed,18,10,"[{'variable': 'subject_age', 'value': 94.72000122070312, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
NoMed,21,18,"[{'variable': 'TAU_data', 'value': 689.5982055664062, 'lower_bound': -98.47862854, 'upper_bound': 671.9238390503378}]"
NoMed,23,17,"[{'variable': 'subject_age', 'value': 94.97000122070312, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
NoMed,30,10,"[{'variable': 'MidTemp', 'value': 9997.2763671875, 'lower_bound': 10037.345003749057, 'upper_bound': 28777.614263053387}]"
NoMed,31,7,"[{'variable': 'Ventricles', 'value': 112628.3046875, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
NoMed,44,14,"[{'variable': 'Ventricles', 'value': 111779.828125, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
NoMed,60,17,"[{'variable': 'subject_age', 'value': 95.08999633789062, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
NoMed,66,6,"[{'variable': 'subject_age', 'value': 94.94999694824219, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
NoMed,72,2,"[{'variable': 'Ventricles', 'value': 113902.6875, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
NoMed,79,19,"[{'variable': 'subject_age', 'value': 95.08999633789062, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
NoMed,84,19,"[{'variable': 'subject_age', 'value': 94.7699966430664, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
NoMed,90,12,"[{'variable': 'Ventricles', 'value': 111923.8125, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
NoMed,92,17,"[{'variable': 'subject_age', 'value': 94.80999755859375, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
NoMed,93,21,"[{'variable': 'subject_age', 'value': 95.0199966430664, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
NoMed,97,0,"[{'variable': 'Ventricles', 'value': 113896.8828125, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
