policy,episode,step,variables
PPO,72,1,"[{'variable': 'Ventricles', 'value': 111945.2890625, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
PPO,74,17,"[{'variable': 'Entorhinal', 'value': 965.30029296875, 'lower_bound': 987.6326533633978, 'upper_bound': 6120.5435177160325}]"
PPO,79,19,"[{'variable': 'subject_age', 'value': 95.08999633789062, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
PPO,84,19,"[{'variable': 'subject_age', 'value': 94.7699966430664, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
PPO,90,11,"[{'variable': 'Ventricles', 'value': 111962.3671875, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
PPO,92,17,"[{'variable': 'subject_age', 'value': 94.80999755859375, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
PPO,93,21,"[{'variable': 'subject_age', 'value': 95.0199966430664, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
PPO,94,18,"[{'variable': 'Fusiform', 'value': 25857.568359375, 'lower_bound': 8930.411846, 'upper_bound': 25693.10470195099}]"
PPO,97,0,"[{'variable': 'Ventricles', 'value': 114080.53125, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
SAC,3,7,"[{'variable': 'Fusiform', 'value': 8929.19921875, 'lower_bound': 8930.411846, 'upper_bound': 25693.10470195099}]"
SAC,4,1,"[{'variable': 'Ventricles', 'value': 113639.8359375, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
SAC,7,13,"[{'variable': 'Ventricles', 'value': 113558.859375, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
SAC,11,13,"[{'variable': 'Ventricles', 'value': 114150.6015625, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
SAC,13,12,"[{'variable': 'ICV', 'value': 2063507.375, 'lower_bound': 1007825.0712592078, 'upper_bound': 2037697.0662990797}]"
SAC,18,10,"[{'variable': 'subject_age', 'value': 94.72000122070312, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
SAC,23,17,"[{'variable': 'subject_age', 'value': 94.97000122070312, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
SAC,26,13,"[{'variable': 'ADNI_MEM', 'value': 4.0466694831848145, 'lower_bound': -3.31908269, 'upper_bound': 3.966936642178734}]"
SAC,30,19,"[{'variable': 'MidTemp', 'value': 9698.5322265625, 'lower_bound': 10037.345003749057, 'upper_bound': 28777.614263053387}]"
SAC,31,6,"[{'variable': 'Ventricles', 'value': 111557.3671875, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
SAC,43,13,"[{'variable': 'ADNI_MEM', 'value': 4.012872219085693, 'lower_bound': -3.31908269, 'upper_bound': 3.966936642178734}]"
SAC,49,9,"[{'variable': 'ADNI_MEM', 'value': 3.9758341312408447, 'lower_bound': -3.31908269, 'upper_bound': 3.966936642178734}]"
SAC,60,17,"[{'variable': 'subject_age', 'value': 95.08999633789062, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
SAC,66,6,"[{'variable': 'subject_age', 'value': 94.94999694824219, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
SAC,72,3,"[{'variable': 'Ventricles', 'value': 113052.2109375, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
SAC,74,4,"[{'variable': 'Entorhinal', 'value': 948.47802734375, 'lower_bound': 987.6326533633978, 'upper_bound': 6120.5435177160325}]"
SAC,79,19,"[{'variable': 'subject_age', 'value': 95.08999633789062, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
SAC,84,19,"[{'variable': 'subject_age', 'value': 94.7699966430664, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
SAC,90,13,"[{'variable': 'Ventricles', 'value': 112717.2109375, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
SAC,92,17,"[{'variable': 'subject_age', 'value': 94.80999755859375, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
SAC,93,21,"[{'variable': 'subject_age', 'value': 95.0199966430664, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
SAC,97,0,"[{'variable': 'Ventricles', 'value': 118166.9296875, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}, {'variable': 'ICV', 'value': 2055959.75, 'lower_bound': 1007825.0712592078, 'upper_bound': 2037697.0662990797}]"
A2C,0,0,"[{'variable': 'WholeBrain', 'value': 1359996.875, 'lower_bound': 680604.8749597732, 'upper_bound': 1346053.4112888516}]"
A2C,2,15,"[{'variable': 'Ventricles', 'value': 113815.5, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
A2C,3,2,"[{'variable': 'Fusiform', 'value': 8855.6015625, 'lower_bound': 8930.411846, 'upper_bound': 25693.10470195099}]"
A2C,4,1,"[{'variable': 'Ventricles', 'value': 115008.5078125, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
A2C,7,10,"[{'variable': 'Ventricles', 'value': 111908.828125, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
A2C,9,5,"[{'variable': 'TAU_data', 'value': 677.5948486328125, 'lower_bound': -98.47862854, 'upper_bound': 671.9238390503378}]"
A2C,11,13,"[{'variable': 'Ventricles', 'value': 113697.6796875, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
A2C,13,16,"[{'variable': 'Ventricles', 'value': 112024.25, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
A2C,18,10,"[{'variable': 'subject_age', 'value': 94.72000122070312, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
A2C,21,5,"[{'variable': 'TAU_data', 'value': 677.5948486328125, 'lower_bound': -98.47862854, 'upper_bound': 671.9238390503378}]"
A2C,23,17,"[{'variable': 'subject_age', 'value': 94.97000122070312, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
A2C,30,4,"[{'variable': 'MidTemp', 'value': 9748.958984375, 'lower_bound': 10037.345003749057, 'upper_bound': 28777.614263053387}]"
A2C,31,2,"[{'variable': 'Ventricles', 'value': 115232.921875, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
A2C,37,21,"[{'variable': 'WholeBrain', 'value': 1349819.375, 'lower_bound': 680604.8749597732, 'upper_bound': 1346053.4112888516}]"
A2C,43,20,"[{'variable': 'ADNI_MEM', 'value': 3.9680964946746826, 'lower_bound': -3.31908269, 'upper_bound': 3.966936642178734}]"
A2C,44,12,"[{'variable': 'MidTemp', 'value': 28869.55078125, 'lower_bound': 10037.345003749057, 'upper_bound': 28777.614263053387}]"
A2C,49,12,"[{'variable': 'ADNI_MEM', 'value': 3.984511613845825, 'lower_bound': -3.31908269, 'upper_bound': 3.966936642178734}]"
A2C,52,16,"[{'variable': 'MidTemp', 'value': 9981.2041015625, 'lower_bound': 10037.345003749057, 'upper_bound': 28777.614263053387}]"
A2C,55,8,"[{'variable': 'Entorhinal', 'value': 977.2656860351562, 'lower_bound': 987.6326533633978, 'upper_bound': 6120.5435177160325}]"
A2C,60,17,"[{'variable': 'subject_age', 'value': 95.08999633789062, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
A2C,64,5,"[{'variable': 'MidTemp', 'value': 9745.5888671875, 'lower_bound': 10037.345003749057, 'upper_bound': 28777.614263053387}]"
A2C,66,6,"[{'variable': 'subject_age', 'value': 94.94999694824219, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
A2C,72,1,"[{'variable': 'Ventricles', 'value': 113079.234375, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
A2C,74,3,"[{'variable': 'Entorhinal', 'value': 898.7720336914062, 'lower_bound': 987.6326533633978, 'upper_bound': 6120.5435177160325}]"
A2C,79,19,"[{'variable': 'subject_age', 'value': 95.08999633789062, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
A2C,84,19,"[{'variable': 'subject_age', 'value': 94.7699966430664, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
A2C,90,9,"[{'variable': 'Ventricles', 'value': 112354.0, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
A2C,92,17,"[{'variable': 'subject_age', 'value': 94.80999755859375, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
A2C,93,21,"[{'variable': 'subject_age', 'value': 95.0199966430664, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
A2C,94,18,"[{'variable': 'Fusiform', 'value': 25702.87890625, 'lower_bound': 8930.411846, 'upper_bound': 25693.10470195099}]"
A2C,97,0,"[{'variable': 'Ventricles', 'value': 119111.609375, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}, {'variable': 'ICV', 'value': 2061002.125, 'lower_bound': 1007825.0712592078, 'upper_bound': 2037697.0662990797}]"
NoMed,0,19,"[{'variable': 'WholeBrain', 'value': 1349615.875, 'lower_bound': 680604.8749597732, 'upper_bound': 1346053.4112888516}]"
NoMed,4,2,"[{'variable': 'Ventricles', 'value': 112347.5, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
NoMed,7,13,"[{'variable': 'Ventricles', 'value': 113765.6328125, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
NoMed,9,18,"[{'variable': 'TAU_data', 'value': 689.5982055664062, 'lower_bound': -98.47862854, 'upper_bound': 671.9238390503378}]"
NoMed,11,11,"[{'variable': 'Ventricles', 'value': 111642.7109375, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
NoMed,18,10,"[{'variable': 'subject_age', 'value': 94.72000122070312, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
NoMed,21,18,"[{'variable': 'TAU_data', 'value': 689.5982055664062, 'lower_bound': -98.47862854, 'upper_bound': 671.9238390503378}]"
NoMed,23,17,"[{'variable': 'subject_age', 'value': 94.97000122070312, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
NoMed,30,10,"[{'variable': 'MidTemp', 'value': 9997.2763671875, 'lower_bound': 10037.345003749057, 'upper_bound': 28777.614263053387}]"
NoMed,31,7,"[{'variable': 'Ventricles', 'value': 112628.3046875, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
NoMed,44,14,"[{'variable': 'Ventricles', 'value': 111779.828125, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
NoMed,60,17,"[{'variable': 'subject_age', 'value': 95.08999633789062, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
NoMed,66,6,"[{'variable': 'subject_age', 'value': 94.94999694824219, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
NoMed,72,2,"[{'variable': 'Ventricles', 'value': 113902.6875, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
NoMed,79,19,"[{'variable': 'subject_age', 'value': 95.08999633789062, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
NoMed,84,19,"[{'variable': 'subject_age', 'value': 94.7699966430664, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
NoMed,90,12,"[{'variable': 'Ventricles', 'value': 111923.8125, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
NoMed,92,17,"[{'variable': 'subject_age', 'value': 94.80999755859375, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
NoMed,93,21,"[{'variable': 'subject_age', 'value': 95.0199966430664, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
NoMed,97,0,"[{'variable': 'Ventricles', 'value': 113896.8828125, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
